location,latitude,longitude,recording_date,PIWO,PIWOdrum,PIWOcall,drum_rate,hour,TSSR,julian,elevation,snowcover,daily_min_temp,daily_max_temp,daily_mean_temp,daily_precipitation_mm,azimuth,NormalTemp,NormDev,Greenup,MidGUP,GUPpeak,Forest Type
AM-423-NW,55.818921,-110.5829,5/17/2015 0:00,0,0,0,0,0,-5.138611111,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 0:00,0,0,0,0,0,-5.165277778,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 1:00,0,0,0,0,1,-4.138611111,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 1:00,0,0,0,0,1,-4.165277778,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 3:00,0,0,0,0,3,-2.138611111,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 3:00,0,0,0,0,3,-2.165277778,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 4:00,0,0,0,0,4,-1.138611111,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 4:00,0,0,0,0,4,-1.165277778,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 5:00,0,0,0,0,5,-0.138611111,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 5:00,0,0,0,0,5,-0.165277778,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 6:00,0,0,0,0,6,0.861388889,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 6:00,1,1,0,1,6,0.834722222,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 7:00,1,1,0,1,7,1.861388889,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 7:00,0,0,0,0,7,1.834722222,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 8:00,0,0,0,0,8,2.861388889,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 8:00,0,0,0,0,8,2.834722222,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 9:00,0,0,0,0,9,3.861388889,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
AM-425-NE,55.931393,-111.142482,5/17/2015 9:00,0,0,0,0,9,3.834722222,137,641,0.828125,-3.4,15.1,5.9,0,1.470506865,10,-4.1,93,119,185,Conif
AM-423-NW,55.818921,-110.5829,5/17/2015 10:00,0,0,0,0,10,4.861388889,137,529,0.723632813,-3.4,15.1,5.9,0,1.479853451,10.7,-4.8,97,144,207,Conif
