"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"2","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"3","14-NW",251,"meters",-112.230896,59.796966,TRUE
"4","15-NW",215,"meters",-111.907753,59.783935,TRUE
"5","234-NW",245,"meters",-113.046516,58.418022,TRUE
"6","265-NW",361,"meters",-112.842941,58.207672,TRUE
"7","266-NW",389,"meters",-112.512741,58.205688,TRUE
"8","2-NW",193,"meters",-112.202679,59.970813,TRUE
"9","330-NW",300,"meters",-110.962219,57.668617,TRUE
"10","358-NW",296,"meters",-111.375656,57.497894,TRUE
"11","360-NW",413,"meters",-110.709099,57.468082,TRUE
"12","412-NW",789,"meters",-113.492157,57.38126,TRUE
"13","414-NW",737,"meters",-112.846794,57.294983,TRUE
"14","444-NW",537,"meters",-112.87368,57.164497,TRUE
"15","472-NW",604,"meters",-113.571747,56.993167,TRUE
"16","574-NW",582,"meters",-110.90043,56.174919,TRUE
"17","576-NW",468,"meters",-110.32367,56.107593,TRUE
"18","989-NW",589,"meters",-111.749352,53.857868,TRUE
"19","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"20","14-NW",251,"meters",-112.230896,59.796966,TRUE
"21","1-NW",330,"meters",-110.282402,59.943126,TRUE
"22","234-NW",245,"meters",-113.046516,58.418022,TRUE
"23","265-NW",361,"meters",-112.842941,58.207672,TRUE
"24","294-NW",473,"meters",-113.233276,58.088268,TRUE
"25","296-NW",701,"meters",-112.561646,57.981269,TRUE
"26","2-NW",193,"meters",-112.202679,59.970813,TRUE
"27","32-NW",275,"meters",-112.604416,59.677497,TRUE
"28","34-NW",239,"meters",-111.939857,59.565719,TRUE
"29","389-NW",367,"meters",-111.113747,57.299912,TRUE
"30","390-NW",577,"meters",-110.721565,57.268985,TRUE
"31","3-NW",214,"meters",-111.849083,59.94268,TRUE
"32","412-NW",789,"meters",-113.492157,57.38126,TRUE
"33","443-NW",636,"meters",-113.191315,57.134647,TRUE
"34","474-NW",519,"meters",-112.872215,56.952861,TRUE
"35","514-NW",501,"meters",-110.065025,56.463573,TRUE
"36","544-NW",469,"meters",-110.536407,56.315376,TRUE
"37","794-NW",762,"meters",-111.336494,54.970066,TRUE
"38","825-NW",641,"meters",-111.665276,54.811954,TRUE
"39","989-NW",589,"meters",-111.749352,53.857868,TRUE
"40","990-NW",640,"meters",-111.464218,53.872203,TRUE
"41","13-NW",259,"meters",-112.579437,59.869964,TRUE
"42","1-NW",330,"meters",-110.282402,59.943126,TRUE
"43","234-NW",245,"meters",-113.046516,58.418022,TRUE
"44","236-NW",220,"meters",-112.436066,58.374332,TRUE
"45","296-NW",701,"meters",-112.561646,57.981269,TRUE
"46","2-NW",193,"meters",-112.202679,59.970813,TRUE
"47","32-NW",275,"meters",-112.604416,59.677497,TRUE
"48","33-NW",285,"meters",-112.275978,59.646675,TRUE
"49","388-NW",310,"meters",-111.48172,57.341125,TRUE
"50","3-NW",214,"meters",-111.849083,59.94268,TRUE
"51","412-NW",789,"meters",-113.492157,57.38126,TRUE
"52","414-NW",737,"meters",-112.846794,57.294983,TRUE
"53","443-NW",636,"meters",-113.191315,57.134647,TRUE
"54","574-NW",582,"meters",-110.90043,56.174919,TRUE
"55","576-NW",468,"meters",-110.32367,56.107593,TRUE
"56","791-NW",575,"meters",-112.233109,55.034576,TRUE
"57","792-NW",580,"meters",-112.013039,55.026519,TRUE
"58","793-NW",578,"meters",-111.73012,54.976463,TRUE
"59","990-NW",640,"meters",-111.464218,53.872203,TRUE
"60","991-NW",613,"meters",-111.167091,53.823879,TRUE
"61","599-NW",566,"meters",-112.856621,56.223064,TRUE
"62","1022-NW",611,"meters",-111.788589,53.676139,TRUE
"63","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"64","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"65","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"66","1057-NW",673,"meters",-111.518913,53.477196,TRUE
"67","13-NW",259,"meters",-112.579437,59.869964,TRUE
"68","14-NW",251,"meters",-112.230896,59.796966,TRUE
"69","15-NW",215,"meters",-111.907753,59.783935,TRUE
"70","1-NW",330,"meters",-110.282402,59.943126,TRUE
"71","266-NW",389,"meters",-112.512741,58.205688,TRUE
"72","294-NW",473,"meters",-113.233276,58.088268,TRUE
"73","330-NW",300,"meters",-110.962219,57.668617,TRUE
"74","331-NW",362,"meters",-110.613266,57.633213,TRUE
"75","34-NW",239,"meters",-111.939857,59.565719,TRUE
"76","389-NW",367,"meters",-111.113747,57.299912,TRUE
"77","412-NW",789,"meters",-113.492157,57.38126,TRUE
"78","414-NW",737,"meters",-112.846794,57.294983,TRUE
"79","443-NW",636,"meters",-113.191315,57.134647,TRUE
"80","574-NW",582,"meters",-110.90043,56.174919,TRUE
"81","576-NW",468,"meters",-110.32367,56.107593,TRUE
"82","663-NW",559,"meters",-113.027748,55.847248,TRUE
"83","793-NW",578,"meters",-111.73012,54.976463,TRUE
"84","857-NW",595,"meters",-111.759758,54.640964,TRUE
"85","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"86","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"87","13-NW",259,"meters",-112.579437,59.869964,TRUE
"88","1-NW",330,"meters",-110.282402,59.943126,TRUE
"89","265-NW",361,"meters",-112.842941,58.207672,TRUE
"90","295-NW",648,"meters",-112.838333,58.05516,TRUE
"91","296-NW",701,"meters",-112.561646,57.981269,TRUE
"92","331-NW",362,"meters",-110.613266,57.633213,TRUE
"93","359-NW",328,"meters",-111.054222,57.454883,TRUE
"94","388-NW",310,"meters",-111.48172,57.341125,TRUE
"95","412-NW",789,"meters",-113.492157,57.38126,TRUE
"96","443-NW",636,"meters",-113.191315,57.134647,TRUE
"97","472-NW",604,"meters",-113.571747,56.993167,TRUE
"98","474-NW",519,"meters",-112.872215,56.952861,TRUE
"99","545-NW",483,"meters",-110.207954,56.264293,TRUE
"100","575-NW",447,"meters",-110.594681,56.109256,TRUE
"101","791-NW",575,"meters",-112.233109,55.034576,TRUE
"102","823-NW",572,"meters",-112.384628,54.883815,TRUE
"103","855-NW",594,"meters",-112.363113,54.682022,TRUE
"104","266-NW",389,"meters",-112.512741,58.205688,TRUE
